0 435 223 1.128 892 282 0.652 720 295 -2.405 447 538 1.043 263 491 0.188 352 610 -2.711 301 344 -2.61 1023 317 -0.318
10 433 219 1.31 918 306 0.603 723 294 -2.016 452 539 0.847 262 490 0.371 354 619 -2.98 305 346 -2.3 1035 329 0.073
20 433 219 1.77 924 309 0.448 720 276 -1.599 464 547 0.511 260 490 0.505 343 621 -3.577 306 349 -1.467 1035 329 0.943
30 432 226 1.655 936 314 0.292 720 259 -1.587 481 554 0.313 256 486 0.722 334 631 -4.207 305 350 -0.898 1034 340 1.816
40 434 237 1.122 955 319 0.235 719 241 -1.657 500 559 0.232 254 485 0.871 328 647 -4.461 305 350 0.009 1028 354 2.084
50 445 247 0.512 973 323 0.224 716 222 -1.727 518 563 0.174 254 485 1.605 326 651 -4.045 305 350 1.059 1024 365 1.733
60 463 253 0.219 989 326 0.221 713 204 -1.767 536 565 0.077 251 488 2.566 315 657 -3.407 304 360 2.019 1025 384 1.405
70 475 255 0.251 1008 331 0.212 709 186 -1.834 555 566 0.001 234 492 3.042 297 657 -3.027 294 374 2.344 1029 401 1.324
80 481 260 0.837 1020 333 0.332 703 168 -1.895 573 565 -0.088 216 493 3.137 279 653 -2.863 282 385 2.38 1031 412 1.627
90 487 274 1.364 1028 339 0.917 697 151 -1.962 591 562 -0.192 198 493 3.097 260 647 -2.792 271 396 2.361 1028 428 1.979
100 488 293 1.609 1033 354 1.44 690 138 -2.037 609 558 -0.259 180 495 3.002 242 640 -2.761 258 407 2.557 1019 445 2.138
110 487 313 1.701 1032 373 1.684 687 125 -1.73 627 553 -0.244 160 499 2.956 224 633 -2.74 244 417 2.678 1009 461 2.186
120 484 332 1.721 1029 391 1.779 686 107 -1.492 644 550 -0.192 141 502 2.94 207 625 -2.711 230 423 2.842 1000 475 2.131
130 481 349 1.678 1025 409 1.812 689 88 -1.396 650 550 0.165 122 506 2.927 191 617 -2.667 214 427 2.981 992 491 1.979
140 481 366 1.537 1020 428 1.824 692 70 -1.356 660 554 0.565 105 510 2.933 176 608 -2.537 196 430 3.005 985 509 1.902
150 482 385 1.458 1015 448 1.828 695 53 -1.34 673 566 0.904 98 510 3.385 161 597 -2.461 187 432 2.967 979 526 1.903
160 485 405 1.428 1011 465 1.846 696 45 -1.031 682 581 1.101 86 502 3.949 147 585 -2.413 179 433 2.938 973 540 2.046
170 488 424 1.428 1006 481 1.876 705 38 -0.427 689 598 1.248 76 486 4.24 133 572 -2.374 175 434 2.972 964 553 2.261
180 490 443 1.449 1000 496 1.984 722 35 -0.058 693 614 1.397 68 469 4.361 120 559 -2.317 170 435 3.051 951 566 2.449
190 492 461 1.434 994 508 2.155 741 36 0.098 695 633 1.505 62 450 4.407 109 545 -2.221 166 435 3.092 936 577 2.535
200 496 472 1.048 983 522 2.243 760 38 0.157 695 648 1.629 56 431 4.423 98 530 -2.156 153 436 3.104 919 588 2.562
210 507 482 0.654 970 537 2.278 779 41 0.178 693 653 2.219 51 413 4.445 88 514 -2.112 148 436 3.075 904 599 2.554
220 521 489 0.353 957 552 2.29 796 44 0.201 680 660 2.83 46 394 4.474 78 498 -2.075 144 437 3.063 889 609 2.535
230 536 492 0.083 944 567 2.295 813 47 0.23 662 663 3.11 43 378 4.556 77 497 -2.049 143 437 3.062 873 620 2.528
240 552 491 -0.174 931 581 2.312 829 51 0.327 642 662 3.218 42 361 4.718 75 497 -2.025 143 437 3.06 858 631 2.54
250 567 487 -0.428 919 595 2.342 844 56 0.444 622 660 3.252 43 342 4.805 75 497 -2.001 142 437 3.058 846 640 2.617
260 579 478 -0.732 908 605 2.477 860 63 0.551 604 658 3.243 45 322 4.845 75 497 -1.977 142 437 3.055 834 647 2.806
270 589 466 -1.019 903 608 2.612 875 72 0.611 585 656 3.218 48 303 4.863 75 498 -1.957 142 438 3.054 818 653 2.959
280 596 452 -1.283 888 616 2.679 890 81 0.653 567 655 3.162 51 284 4.883 76 499 -1.944 141 438 3.054 800 657 3.035
290 598 436 -1.54 870 624 2.706 904 91 0.69 548 656 3.118 55 265 4.911 76 500 -1.937 141 438 3.054 782 659 3.08
300 596 418 -1.742 852 633 2.715 918 103 0.724 529 656 3.081 59 248 4.955 77 501 -1.932 140 438 3.056 762 660 3.1
310 591 400 -1.818 834 641 2.72 932 116 0.758 510 658 3.048 64 232 5.084 77 501 -1.928 140 438 3.059 742 661 3.107
320 586 384 -1.773 817 648 2.74 945 126 0.794 490 660 3.033 72 215 5.189 78 502 -1.925 139 438 3.062 722 662 3.109
330 585 377 -1.636 800 655 2.781 957 138 0.857 471 662 3.033 80 199 5.247 78 502 -1.922 139 438 3.065 702 662 3.11
340 585 375 -1.574 784 660 2.91 969 151 0.943 452 664 3.053 89 184 5.289 78 503 -1.918 139 438 3.066 682 663 3.118
350 586 373 -1.55 765 663 2.986 980 166 1.007 433 665 3.081 99 169 5.325 79 503 -1.915 138 438 3.063 664 663 3.142
360 586 371 -1.54 747 666 3.036 990 183 1.051 414 666 3.113 109 154 5.36 79 504 -1.912 138 438 3.061 644 663 3.156
370 586 370 -1.534 729 667 3.128 999 199 1.088 396 666 3.146 121 140 5.394 79 504 -1.908 137 439 3.06 624 663 3.161
380 586 368 -1.53 710 666 3.184 1007 216 1.144 378 666 3.179 132 126 5.47 79 505 -1.905 137 439 3.06 604 662 3.163
390 586 366 -1.526 691 665 3.225 1014 232 1.193 360 666 3.213 143 115 5.58 80 505 -1.902 136 439 3.061 584 662 3.164
400 586 364 -1.523 671 663 3.245 1020 248 1.241 342 664 3.246 148 109 5.644 80 505 -1.898 136 439 3.063 564 661 3.164
410 586 362 -1.519 651 661 3.252 1025 265 1.301 324 662 3.279 150 108 5.67 80 505 -1.895 136 439 3.066 544 661 3.164
420 586 360 -1.516 633 659 3.239 1030 282 1.369 306 660 3.313 151 107 5.681 80 506 -1.891 135 439 3.069 524 660 3.164
430 586 358 -1.513 614 657 3.212 1033 300 1.415 289 658 3.346 153 106 5.687 80 506 -1.888 135 439 3.07 504 660 3.164
440 587 346 -1.504 595 656 3.182 1036 317 1.479 272 655 3.392 154 105 5.691 80 506 -1.885 134 439 3.07 484 660 3.164
450 588 327 -1.488 576 656 3.149 1037 334 1.547 257 651 3.548 155 104 5.695 81 506 -1.881 134 439 3.07 464 659 3.16
460 590 307 -1.481 557 656 3.116 1037 352 1.599 240 644 3.665 157 103 5.698 81 507 -1.878 133 439 3.071 445 659 3.14
470 592 287 -1.481 538 657 3.083 1037 370 1.639 223 633 3.719 158 102 5.702 81 507 -1.875 133 440 3.073 425 659 3.129
480 593 268 -1.5 519 658 3.054 1035 387 1.687 207 622 3.739 159 101 5.705 81 507 -1.871 133 440 3.077 405 659 3.126
490 594 249 -1.528 499 660 3.042 1033 403 1.797 190 611 3.745 161 100 5.708 81 507 -1.868 132 440 3.078 385 660 3.124
500 595 231 -1.559 480 662 3.042 1029 420 1.859 174 599 3.748 168 94 5.716 81 507 -1.865 132 440 3.077 365 660 3.124
510 595 212 -1.591 461 664 3.063 1024 436 1.902 157 588 3.749 183 83 5.739 81 507 -1.861 131 440 3.075 345 660 3.124
520 594 193 -1.62 442 665 3.092 1021 453 1.939 142 577 3.765 198 74 5.787 81 507 -1.858 131 440 3.075 325 661 3.128
530 594 178 -1.506 423 666 3.124 1015 468 2.029 132 570 3.866 215 66 5.864 81 508 -1.855 130 440 3.074 307 661 3.152
540 597 167 -0.989 404 666 3.156 1008 481 2.217 129 566 3.963 232 59 5.913 81 508 -1.851 130 440 3.074 291 660 3.285
550 609 159 -0.389 385 665 3.19 996 494 2.396 126 563 4.019 250 52 5.951 81 508 -1.848 129 440 3.076 274 655 3.445
560 622 155 -0.342 366 664 3.215 984 506 2.46 126 563 4.06 268 46 5.987 81 508 -1.845 129 440 3.078 256 649 3.525
570 631 149 -0.82 346 662 3.225 973 518 2.427 126 563 4.092 286 41 6.021 81 508 -1.841 129 440 3.081 239 641 3.575
580 636 136 -1.41 326 660 3.228 961 530 2.304 126 563 4.104 304 37 6.054 81 508 -1.838 128 441 3.082 222 633 3.614
590 636 118 -1.691 307 659 3.237 949 545 2.22 126 563 4.109 321 33 6.116 81 508 -1.835 128 441 3.081 205 624 3.65
600 635 105 -1.487 288 657 3.261 938 561 2.174 126 563 4.11 339 32 6.264 82 508 -1.831 127 441 3.081 193 617 3.684
610 639 95 -0.919 272 654 3.342 927 576 2.164 126 563 4.111 358 32 6.347 82 508 -1.84 127 441 3.081 189 614 3.717
620 653 86 -0.412 259 651 3.503 918 590 2.232 126 563 4.111 377 34 6.393 82 508 -1.924 126 441 3.083 185 612 3.751
630 671 80 -0.2 255 649 3.59 907 601 2.418 126 563 4.111 397 37 6.411 82 509 -1.981 126 441 3.085 181 609 3.782
640 691 77 -0.125 250 646 3.638 892 612 2.596 126 563 4.111 416 39 6.405 82 509 -2.033 125 441 3.088 180 609 3.804
650 711 75 -0.103 246 644 3.656 875 621 2.681 126 563 4.103 434 41 6.382 82 509 -2.031 125 441 3.088 180 608 3.813
660 730 73 -0.096 242 642 3.663 857 629 2.714 127 565 4.259 452 42 6.313 83 508 -2.033 125 441 3.087 180 608 3.816
670 749 71 -0.097 242 642 3.665 839 638 2.725 127 566 4.546 471 42 6.249 106 502 -2.051 124 441 3.087 180 608 3.817
680 767 70 -0.052 242 642 3.665 821 645 2.734 127 566 4.627 474 42 6.61 113 501 -2.101 124 441 3.087 180 608 3.818
690 783 70 0.1 242 642 3.666 804 653 2.757 127 566 4.639 483 50 7.297 114 501 -2.169 124 441 3.087 180 608 3.818
700 801 74 0.254 242 642 3.666 787 658 2.836 127 566 4.626 487 67 7.767 114 501 -2.243 124 441 3.087 180 608 3.818
710 819 80 0.328 242 642 3.666 770 663 2.943 127 566 4.606 487 86 7.954 114 501 -2.319 124 441 3.087 180 608 3.818
720 837 86 0.368 242 642 3.666 753 665 3.038 127 566 4.582 484 105 8.009 114 501 -2.395 124 441 3.087 180 608 3.818
730 854 92 0.399 242 642 3.666 734 666 3.149 127 566 4.557 481 122 7.977 114 501 -2.472 124 441 3.087 180 608 3.818
740 868 97 0.508 242 642 3.666 715 665 3.21 128 563 4.532 481 139 7.823 114 501 -2.55 124 441 3.087 182 610 4.038
750 881 105 0.698 242 642 3.666 696 663 3.245 128 555 4.489 482 158 7.728 139 496 -2.627 125 438 3.089 182 611 4.259
760 895 116 0.807 243 642 3.597 676 661 3.258 125 549 4.424 485 178 7.692 148 493 -2.701 125 438 3.102 182 610 4.312
770 908 129 0.864 246 643 3.047 657 659 3.246 125 549 4.351 488 196 7.695 148 493 -2.751 125 438 3.127 182 610 4.316
780 921 144 0.888 252 642 2.658 639 657 3.221 125 549 4.293 491 213 7.747 148 493 -2.792 125 438 3.139 182 610 4.301
790 933 159 0.897 249 643 2.965 620 656 3.19 124 548 4.256 491 231 7.869 148 493 -2.848 125 438 3.143 182 609 4.279
