0 690 102 1.223 167 519 -2.11 199 211 1.224 179 105 2.276 527 656 0 785 268 2.025 746 230 1.216 1018 345 1.264
10 688 98 1.182 161 509 -2.379 199 211 1.03 198 125 2.435 524 656 -0.005 754 307 2.064 758 248 1.207 1016 339 1.248
20 686 95 0.925 150 504 -2.951 198 211 0.898 198 125 2.576 520 655 0.596 754 307 2.151 758 248 1.188 1014 334 1.318
30 693 103 0.647 133 505 -3.378 198 211 0.835 198 125 2.698 520 655 1.192 754 307 2.255 758 248 1.164 1014 337 1.421
40 704 107 0.047 114 512 -3.539 198 210 0.853 198 125 2.814 520 655 2.129 754 308 2.364 758 248 1.14 1020 350 0.998
50 716 102 -0.634 107 515 -3.334 198 210 0.861 198 125 2.928 508 660 2.984 753 308 2.475 758 248 1.115 1029 361 0.848
60 725 90 -1.133 97 513 -2.688 197 209 0.873 198 125 3.041 489 659 3.332 753 308 2.588 758 248 1.09 1034 371 1.279
70 730 71 -1.375 85 502 -2.205 197 209 0.909 198 125 3.154 473 655 3.357 753 309 2.7 758 248 1.069 1033 386 1.8
80 733 52 -1.448 76 485 -1.976 197 209 0.998 198 125 3.266 459 654 3.14 753 309 2.812 758 248 1.05 1027 404 2.015
90 734 47 -1.108 69 466 -1.89 197 209 1.102 198 125 3.379 441 656 2.944 753 309 2.925 758 248 1.027 1019 419 2.02
100 742 40 -0.435 63 447 -1.86 197 209 1.212 198 125 3.491 422 660 2.872 753 309 3.037 758 248 1.012 1013 433 1.86
110 759 38 0.012 58 428 -1.849 197 209 1.457 201 126 3.65 406 665 2.917 753 309 3.15 758 247 0.989 1010 452 1.718
120 777 40 0.212 52 409 -1.845 197 209 2.231 204 128 3.837 390 667 3.095 753 309 3.262 758 247 1.038 1007 471 1.675
130 796 45 0.292 47 391 -1.828 197 209 3.234 201 122 4.228 372 666 3.245 753 309 3.375 758 247 1.074 1005 486 1.784
140 815 52 0.319 44 375 -1.75 192 202 4.227 195 107 4.507 352 663 3.307 753 309 3.487 758 246 1.06 1000 500 2.038
150 834 58 0.329 42 357 -1.59 188 184 4.661 193 93 4.725 332 660 3.327 753 309 3.6 758 246 0.999 990 515 2.256
160 852 64 0.349 43 338 -1.503 188 178 4.674 196 82 5.278 313 656 3.321 753 309 3.712 758 247 0.958 976 530 2.345
170 866 68 0.389 45 320 -1.451 186 159 4.532 208 72 5.78 294 653 3.316 753 310 3.789 758 247 0.969 962 543 2.373
180 878 73 0.544 47 301 -1.411 182 140 4.466 226 65 5.991 274 649 3.315 754 310 3.83 758 246 0.97 949 557 2.365
190 890 80 0.66 51 282 -1.375 176 122 4.427 244 61 6.057 256 646 3.33 755 311 3.845 759 248 0.881 935 570 2.343
200 902 89 0.722 54 264 -1.341 173 109 4.523 262 56 6.058 239 642 3.386 754 309 4.427 756 245 0.582 922 584 2.327
210 914 98 0.765 58 247 -1.279 174 100 5.098 279 52 6.037 224 637 3.56 754 309 4.966 760 239 0.82 908 598 2.33
220 927 109 0.802 64 231 -1.131 185 88 5.611 297 47 6.008 208 628 3.735 754 309 5.165 770 234 0.973 896 611 2.381
230 939 121 0.837 73 215 -1.048 202 78 5.826 314 40 5.988 193 616 3.812 754 308 5.233 775 233 1.012 884 621 2.553
240 952 133 0.871 83 198 -1.003 220 70 5.901 330 34 6.026 177 603 3.84 754 308 5.254 777 234 1.009 869 629 2.727
250 964 146 0.904 94 181 -0.985 238 63 5.92 345 31 6.194 162 591 3.849 755 308 5.26 778 235 0.979 852 635 2.81
260 975 160 0.938 105 165 -0.976 256 56 5.913 362 31 6.388 148 579 3.853 755 307 5.259 779 236 0.931 834 641 2.843
270 985 174 1.009 115 149 -0.955 275 49 5.91 382 34 6.479 133 567 3.858 755 307 5.257 780 237 0.882 816 647 2.854
280 994 190 1.075 127 134 -0.926 293 42 5.921 400 38 6.503 120 555 3.88 755 307 5.254 781 238 0.835 798 653 2.86
290 1003 206 1.119 137 122 -0.818 309 36 5.98 417 41 6.44 108 544 3.986 755 307 5.251 782 239 0.792 780 658 2.88
300 1011 220 1.185 151 109 -0.692 324 33 6.15 433 42 6.269 98 530 4.137 755 307 5.248 783 240 0.748 764 663 2.911
310 1017 234 1.311 165 98 -0.626 343 32 6.298 452 41 6.166 88 517 4.214 755 307 5.244 784 241 0.708 750 667 3.047
320 1021 249 1.45 181 87 -0.582 362 33 6.37 470 38 6.135 81 506 4.285 755 307 5.241 785 242 0.667 733 668 3.229
330 1023 266 1.559 197 77 -0.544 374 34 6.402 474 39 6.614 80 505 4.337 755 307 5.238 786 243 0.63 715 667 3.324
340 1025 284 1.599 213 68 -0.51 384 36 6.413 483 47 7.307 79 503 4.357 755 307 5.234 787 244 0.596 696 664 3.363
350 1025 303 1.605 230 59 -0.473 400 38 6.409 487 64 7.736 78 502 4.366 755 307 5.231 789 245 0.568 678 660 3.365
360 1026 322 1.602 245 52 -0.349 419 40 6.386 488 83 7.912 78 501 4.372 755 308 5.028 798 250 0.413 662 657 3.293
370 1025 341 1.582 263 47 -0.262 437 42 6.357 486 103 7.974 77 499 4.376 754 311 4.886 815 254 0.153 646 657 3.119
380 1025 360 1.555 281 42 -0.21 456 43 6.314 483 122 7.981 76 498 4.379 754 315 4.735 831 254 -0.145 628 660 3.019
390 1026 380 1.542 300 39 -0.17 473 43 6.273 481 139 7.932 75 496 4.383 754 304 4.805 847 249 -0.393 609 662 2.991
400 1026 399 1.55 319 36 -0.135 476 44 6.763 481 157 7.837 75 495 4.386 757 286 4.873 863 241 -0.447 590 665 3.005
410 1026 416 1.603 337 34 -0.1 485 54 7.402 482 176 7.782 74 494 4.39 760 269 4.878 879 234 -0.442 574 666 3.121
420 1024 432 1.776 356 32 -0.067 488 71 7.784 484 196 7.749 73 492 4.393 762 251 4.851 895 228 -0.305 555 666 3.205
430 1019 449 1.95 375 31 -0.033 488 90 7.943 486 216 7.737 72 491 4.396 765 232 4.806 913 223 -0.221 535 664 3.252
440 1011 467 2.031 394 31 0 485 110 7.996 488 234 7.748 72 489 4.4 765 218 4.779 932 219 -0.171 516 662 3.27
450 1001 484 2.061 413 31 0.033 483 128 7.994 490 253 7.774 71 488 4.403 769 206 5.082 950 216 -0.155 497 659 3.264
460 992 502 2.071 432 32 0.066 481 145 7.898 491 272 7.805 70 486 4.406 778 190 5.339 967 213 -0.169 478 657 3.241
470 982 519 2.076 451 34 0.092 481 164 7.802 492 290 7.838 70 485 4.41 790 176 5.475 983 208 -0.214 460 656 3.172
480 973 536 2.097 471 36 0.101 483 183 7.749 492 308 7.871 69 483 4.413 804 163 5.53 990 208 0.151 442 656 3.108
490 964 550 2.19 476 37 0.467 485 203 7.727 492 326 7.904 68 482 4.416 817 150 5.528 1000 214 0.782 423 657 3.064
500 953 564 2.287 485 47 1.112 488 222 7.727 491 344 7.937 68 480 4.42 831 136 5.489 1009 229 1.167 403 659 3.038
510 940 578 2.36 488 64 1.524 490 240 7.749 489 363 7.963 67 479 4.423 845 122 5.48 1015 247 1.318 383 661 3.03
520 926 590 2.425 487 83 1.691 491 259 7.78 488 381 7.972 66 477 4.426 858 108 5.491 1020 266 1.371 364 663 3.042
530 912 602 2.472 484 102 1.738 492 277 7.865 490 398 7.976 66 476 4.43 872 95 5.496 1024 284 1.39 346 665 3.069
540 897 613 2.536 481 119 1.683 491 296 7.919 491 416 7.977 65 474 4.433 878 90 5.824 1027 301 1.396 330 665 3.176
550 882 622 2.629 481 136 1.53 489 315 7.955 489 436 7.977 64 473 4.436 889 89 6.482 1032 319 1.403 311 663 3.301
560 866 630 2.72 483 155 1.448 487 335 7.969 488 452 7.906 63 471 4.44 903 97 7.004 1036 334 1.459 293 659 3.367
570 848 638 2.774 486 175 1.416 485 354 7.967 490 464 7.481 63 469 4.443 916 112 7.216 1038 348 1.629 274 655 3.411
580 830 644 2.814 488 193 1.421 483 367 7.944 499 477 7.074 62 468 4.446 927 127 7.283 1036 364 1.823 256 649 3.448
590 812 650 2.85 491 210 1.473 483 376 7.915 511 486 6.767 62 466 4.45 936 142 7.23 1032 382 1.918 239 643 3.493
600 794 655 2.884 491 229 1.569 483 384 7.883 526 491 6.496 61 465 4.453 947 155 7.09 1027 401 1.953 223 636 3.597
610 776 659 2.918 491 248 1.625 482 390 7.85 542 492 6.263 60 463 4.456 961 168 7.014 1020 418 1.957 206 627 3.664
620 757 663 2.951 489 267 1.664 483 396 7.816 557 490 6.021 60 461 4.46 975 180 7.006 1013 436 1.937 190 617 3.709
630 741 666 3.035 487 287 1.681 483 404 7.787 571 483 5.772 59 459 4.463 986 191 7.146 1006 454 1.908 174 607 3.747
640 723 666 3.176 485 306 1.683 485 415 7.776 583 474 5.515 58 458 4.466 996 206 7.332 1000 472 1.877 159 596 3.782
650 704 665 3.247 483 325 1.663 487 435 7.772 592 461 5.199 58 456 4.47 1003 222 7.48 995 491 1.862 146 585 3.864
660 684 662 3.275 482 344 1.634 489 453 7.75 596 447 4.863 57 454 4.473 1010 240 7.555 989 508 1.877 132 572 3.951
670 665 660 3.274 481 360 1.602 492 466 7.481 596 430 4.605 57 452 4.476 1015 259 7.589 984 523 2.007 120 558 4.004
680 646 657 3.251 481 372 1.57 500 478 7.072 593 410 4.491 56 451 4.48 1020 278 7.607 975 537 2.204 108 543 4.044
690 629 656 3.183 481 381 1.536 513 487 6.765 589 393 4.479 55 449 4.483 1024 296 7.628 963 552 2.316 96 528 4.079
700 610 657 3.119 481 387 1.503 528 493 6.494 586 377 4.618 55 447 4.487 1029 315 7.656 949 565 2.377 92 522 4.161
710 591 658 3.075 482 394 1.47 544 494 6.235 586 359 4.754 54 445 4.49 1032 332 7.725 935 578 2.419 89 518 4.221
720 572 659 3.05 482 399 1.452 559 491 5.98 587 340 4.823 54 443 4.493 1033 350 7.819 921 590 2.45 87 513 4.263
730 552 661 3.041 483 407 1.446 573 484 5.727 590 320 4.853 54 442 4.497 1033 369 7.873 906 602 2.48 85 509 4.3
740 533 663 3.049 485 420 1.444 584 474 5.446 593 301 4.863 53 440 4.5 1032 387 7.94 891 613 2.512 84 505 4.327
750 514 664 3.074 487 436 1.447 592 461 5.077 596 282 4.854 53 438 4.503 1030 405 8.033 876 624 2.545 83 503 4.337
760 495 665 3.104 490 455 1.439 595 445 4.796 598 263 4.83 49 419 4.519 1026 423 8.098 862 633 2.655 81 499 4.34
770 476 666 3.137 492 467 1.192 595 426 4.655 600 244 4.8 46 401 4.546 1021 441 8.143 845 640 2.781 79 493 4.341
