0 629 491 0.622 395 69 -0.197 680 658 2.413 854 224 -2.755 355 307 -1.421 96 266 -1.016 481 236 0.412 826 328 -1.317
10 626 489 0.571 417 77 -0.443 683 656 2.741 856 224 -2.631 354 308 -1.345 92 269 -0.601 478 235 0.424 832 341 -0.924
20 624 489 -0.008 428 68 -0.9 688 654 3.015 859 227 -2.531 353 310 -1.176 87 271 -0.347 474 233 0.423 838 338 -0.207
30 633 485 -0.568 437 51 -1.151 682 654 3.149 860 227 -2.283 353 310 -0.722 94 267 -0.637 480 237 0.739 856 339 0.172
40 641 475 -1.17 441 43 -0.95 666 654 3.101 860 227 -1.502 353 310 0.168 101 258 -1.221 478 234 1.037 874 344 0.301
50 643 459 -1.622 451 37 -0.344 647 656 3.023 862 225 -0.516 354 311 1.208 100 247 -1.928 477 231 1.034 891 349 0.255
60 639 441 -1.897 469 35 0.03 627 659 2.985 880 223 0.077 353 329 1.857 90 235 -2.494 480 233 0.594 909 353 0.222
70 632 425 -2.05 476 37 0.49 608 662 2.98 895 225 0.11 347 344 1.924 83 231 -2.517 483 235 0.793 928 357 0.22
80 623 411 -2.223 485 47 1.126 590 665 2.999 912 225 -0.086 344 359 1.712 79 224 -1.898 489 247 1.37 945 361 0.255
90 612 400 -2.468 488 64 1.506 574 666 3.102 931 222 -0.205 344 377 1.524 79 209 -1.356 488 266 1.709 963 365 0.303
100 598 392 -2.605 487 84 1.661 555 666 3.199 950 217 -0.244 347 393 1.46 87 192 -1.054 484 284 1.82 982 370 0.321
110 592 386 -2.186 485 103 1.712 535 664 3.251 969 213 -0.247 350 411 1.429 98 176 -0.932 481 300 1.735 999 376 0.343
120 588 371 -1.655 482 122 1.709 515 662 3.27 985 208 -0.2 353 429 1.445 110 160 -0.889 480 316 1.544 1015 380 0.35
130 589 352 -1.407 481 138 1.612 497 659 3.265 992 209 0.319 355 447 1.45 123 145 -0.874 482 334 1.415 1021 382 0.7
140 593 334 -1.332 481 157 1.517 478 657 3.242 1003 218 0.898 358 466 1.397 135 130 -0.868 485 354 1.366 1027 393 1.336
150 596 318 -1.431 483 176 1.464 460 656 3.185 1012 235 1.194 362 483 1.314 148 115 -0.85 489 371 1.38 1027 411 1.722
160 597 302 -1.617 485 196 1.442 441 656 3.113 1018 253 1.312 367 500 1.229 159 102 -0.794 491 388 1.515 1023 429 1.877
170 595 283 -1.723 488 215 1.446 423 657 3.067 1022 273 1.353 374 517 1.151 172 92 -0.621 491 407 1.606 1017 448 1.933
180 591 265 -1.762 490 233 1.469 405 660 3.04 1027 292 1.367 380 531 1.115 188 82 -0.5 490 426 1.659 1010 465 1.952
190 589 251 -1.735 491 252 1.499 387 663 3.039 1030 311 1.378 384 543 1.404 205 74 -0.436 488 445 1.677 1004 482 1.97
200 587 234 -1.61 492 271 1.557 368 666 3.059 1034 330 1.401 384 561 1.617 223 66 -0.403 488 457 1.44 997 499 1.999
210 587 215 -1.536 492 289 1.602 352 669 3.115 1036 346 1.505 384 575 1.718 241 58 -0.39 493 471 0.981 989 515 2.032
220 588 198 -1.455 491 308 1.639 351 669 3.183 1036 365 1.613 384 592 1.755 259 51 -0.375 504 482 0.651 981 529 2.166
230 592 185 -1.112 489 328 1.669 349 669 3.221 1034 378 1.891 383 603 1.781 277 44 -0.348 518 489 0.371 971 542 2.329
240 601 176 -0.537 487 347 1.681 348 669 3.239 1025 393 2.2 382 607 1.798 294 38 -0.305 533 493 0.11 959 553 2.493
250 616 170 -0.331 485 367 1.678 346 669 3.248 1015 406 2.249 382 612 1.81 309 35 -0.149 549 492 -0.145 945 565 2.559
260 625 165 -0.708 483 385 1.655 344 669 3.253 1009 417 1.952 381 613 1.816 327 33 -0.034 564 488 -0.398 931 576 2.577
270 631 155 -1.337 482 404 1.626 342 669 3.257 1006 434 1.69 381 614 1.818 345 33 0.028 578 480 -0.651 916 587 2.568
280 630 137 -1.753 481 423 1.593 340 669 3.26 1005 453 1.61 381 618 1.815 364 34 0.069 588 469 -0.942 900 598 2.543
290 627 122 -1.774 481 440 1.51 339 668 3.264 1004 468 1.724 381 618 1.794 382 35 0.087 595 455 -1.237 885 609 2.516
300 626 109 -1.411 484 455 1.319 337 668 3.27 1000 483 1.99 380 622 1.788 401 36 0.093 598 440 -1.504 869 620 2.501
310 632 96 -0.946 489 468 0.998 335 668 3.287 990 499 2.176 380 622 1.787 421 38 0.093 597 422 -1.732 853 632 2.504
320 645 84 -0.613 500 480 0.677 334 668 3.3 978 515 2.247 379 626 1.782 438 38 0.075 592 403 -1.83 839 642 2.577
330 659 77 -0.318 514 487 0.401 332 668 3.306 965 530 2.268 378 630 1.76 457 38 0.055 589 388 -1.769 825 649 2.764
340 677 73 -0.159 530 492 0.153 330 668 3.318 953 544 2.26 378 630 1.748 473 38 0.094 587 372 -1.583 808 653 2.943
350 697 71 -0.086 546 492 -0.053 328 668 3.325 941 560 2.253 378 631 1.745 478 40 0.645 589 355 -1.383 789 656 3.028
360 716 70 -0.056 561 489 -0.289 326 667 3.33 928 575 2.25 378 633 1.745 486 50 1.244 593 336 -1.284 769 658 3.061
370 734 69 -0.043 574 483 -0.626 324 667 3.334 916 590 2.259 377 635 1.745 488 68 1.573 599 318 -1.252 749 659 3.072
380 754 68 -0.035 585 472 -0.952 322 667 3.338 905 603 2.334 377 637 1.747 488 87 1.7 604 302 -1.324 729 661 3.076
390 772 68 0.016 592 458 -1.231 321 667 3.346 892 614 2.509 377 639 1.747 487 104 1.743 607 285 -1.43 709 662 3.078
400 790 69 0.09 595 441 -1.473 319 666 3.352 876 624 2.614 376 641 1.748 485 122 1.739 609 266 -1.534 691 663 3.094
410 806 71 0.226 595 423 -1.607 317 666 3.356 860 633 2.672 376 643 1.749 483 141 1.716 609 246 -1.574 672 664 3.121
420 824 77 0.358 594 403 -1.672 315 665 3.36 843 641 2.714 376 645 1.751 481 158 1.623 609 226 -1.579 653 664 3.153
430 841 84 0.468 592 384 -1.684 312 665 3.363 825 648 2.75 375 647 1.773 481 176 1.547 609 209 -1.518 633 663 3.178
440 858 94 0.519 590 367 -1.637 294 661 3.381 809 654 2.849 372 653 2.214 482 195 1.498 611 190 -1.463 613 662 3.187
450 875 104 0.545 590 350 -1.519 277 656 3.409 791 658 2.926 361 660 2.832 484 215 1.467 614 173 -1.372 593 661 3.19
460 890 113 0.569 592 332 -1.385 260 652 3.467 773 662 2.975 347 663 3.158 486 235 1.457 618 157 -1.234 573 660 3.191
470 902 120 0.706 596 314 -1.297 244 646 3.539 754 665 3.014 338 662 3.282 488 253 1.468 625 142 -1.042 554 659 3.187
480 910 129 1.105 602 297 -1.235 227 639 3.586 736 666 3.087 321 660 3.325 490 272 1.494 634 131 -0.73 535 659 3.165
490 913 143 1.546 608 282 -1.075 211 631 3.624 718 667 3.154 301 656 3.34 491 291 1.525 646 125 -0.313 516 659 3.136
500 912 158 1.646 619 266 -0.921 196 623 3.708 699 666 3.199 282 652 3.345 491 310 1.558 665 122 -0.053 496 659 3.116
510 914 170 1.252 630 252 -0.894 181 612 3.796 680 664 3.234 263 648 3.359 491 329 1.591 683 121 0.001 476 660 3.109
520 923 183 0.823 639 239 -1.082 167 603 3.848 660 662 3.25 245 644 3.387 490 348 1.624 698 120 -0.195 456 660 3.106
530 938 196 0.656 646 222 -1.241 153 592 3.888 640 660 3.251 230 639 3.522 489 367 1.653 715 113 -0.352 436 661 3.105
540 950 205 0.724 651 204 -1.317 139 581 3.934 622 658 3.231 216 632 3.657 487 387 1.665 732 107 -0.384 416 662 3.105
550 958 217 1.077 653 188 -1.309 127 567 4.012 603 657 3.202 203 624 3.725 485 406 1.667 745 104 -0.078 396 662 3.105
560 965 234 1.265 656 174 -1.203 115 552 4.068 584 656 3.17 189 614 3.766 484 425 1.649 763 105 0.171 377 663 3.117
570 970 253 1.328 661 159 -1.042 104 537 4.109 565 656 3.138 173 602 3.787 483 443 1.592 782 110 0.292 358 663 3.142
580 975 271 1.328 669 144 -0.963 94 521 4.145 546 656 3.104 158 591 3.806 484 456 1.293 800 116 0.33 339 663 3.165
590 980 289 1.285 677 130 -0.864 84 505 4.179 527 657 3.071 143 579 3.834 491 470 0.946 818 122 0.324 320 662 3.194
600 985 307 1.241 686 120 -0.615 75 489 4.213 508 659 3.049 129 567 3.866 503 481 0.661 836 128 0.305 302 661 3.242
610 992 325 1.212 699 111 -0.346 66 473 4.259 488 661 3.042 117 556 3.975 516 488 0.397 855 134 0.293 286 658 3.367
620 999 343 1.215 713 106 -0.174 60 457 4.389 469 663 3.051 106 541 4.101 531 492 0.141 872 139 0.328 268 653 3.472
630 1003 357 1.369 726 104 0.064 55 439 4.465 450 664 3.076 96 525 4.166 547 492 -0.112 885 145 0.524 250 646 3.531
640 1003 371 1.743 742 107 0.362 51 420 4.514 431 665 3.106 86 509 4.211 562 489 -0.364 896 155 0.914 233 639 3.573
650 997 390 1.949 758 114 0.523 48 402 4.553 412 665 3.138 78 492 4.248 576 481 -0.617 905 171 1.151 216 630 3.609
660 989 407 2.027 773 123 0.585 45 383 4.588 393 665 3.171 70 475 4.283 587 471 -0.92 913 188 1.238 199 621 3.644
670 982 424 2.037 788 131 0.614 43 364 4.622 374 664 3.203 62 458 4.317 594 456 -1.204 920 206 1.264 183 612 3.678
680 975 441 2.035 801 140 0.714 42 345 4.656 354 663 3.217 55 440 4.351 599 438 -1.363 926 224 1.283 168 603 3.723
690 967 458 2.042 813 152 0.927 41 329 4.739 334 661 3.222 50 424 4.435 603 418 -1.422 931 243 1.297 154 592 3.848
700 958 476 2.044 823 164 0.969 43 311 4.88 315 660 3.228 46 407 4.571 605 399 -1.431 936 261 1.286 140 579 3.928
710 949 494 2.042 832 173 0.716 47 292 4.953 296 658 3.251 44 388 4.647 608 382 -1.383 942 278 1.232 127 565 3.978
720 940 512 2.039 847 182 0.47 52 274 5.001 278 655 3.293 44 369 4.695 613 366 -1.241 949 295 1.135 115 551 4.017
730 931 529 2.039 865 188 0.361 58 256 5.039 263 652 3.448 44 350 4.734 620 348 -1.16 958 312 1.083 103 536 4.052
740 924 546 2.054 881 193 0.367 64 239 5.074 245 645 3.563 45 331 4.766 628 331 -1.11 966 329 1.078 92 522 4.096
750 917 560 2.158 894 199 0.563 71 221 5.108 228 636 3.626 46 312 4.798 637 313 -1.087 973 343 1.2 83 507 4.194
760 907 572 2.358 906 209 0.824 79 204 5.142 211 627 3.666 48 294 4.83 646 295 -1.079 977 358 1.407 74 490 4.265
770 894 585 2.516 918 223 1.003 87 187 5.177 195 617 3.692 50 276 4.876 656 278 -1.076 978 376 1.593 67 473 4.311
780 878 595 2.591 927 240 1.08 95 172 5.267 179 607 3.718 54 258 4.984 665 260 -1.075 977 395 1.682 60 455 4.349
790 861 605 2.62 937 258 1.107 106 157 5.376 163 597 3.749 60 240 5.046 675 243 -1.074 974 415 1.727 54 439 4.432
800 843 615 2.631 945 276 1.116 118 143 5.436 148 586 3.784 67 224 5.108 684 226 -1.067 970 434 1.744 49 420 4.492
810 826 625 2.634 954 294 1.118 131 129 5.479 135 575 3.908 75 207 5.19 690 210 -1.044 967 453 1.763 46 402 4.534
820 808 635 2.636 963 312 1.111 144 116 5.516 123 561 3.995 84 190 5.24 697 194 -1.004 963 472 1.785 43 383 4.573
830 792 644 2.652 971 328 1.123 158 103 5.567 111 546 4.047 94 174 5.28 707 178 -0.979 959 488 1.855 42 367 4.699
840 777 651 2.73 977 343 1.251 172 92 5.635 99 531 4.087 104 159 5.332 717 164 -0.893 953 504 2.01 42 348 4.786
850 760 656 2.89 980 358 1.46 187 81 5.694 89 516 4.122 115 145 5.409 727 156 -0.526 944 521 2.108 44 329 4.835
860 742 660 2.977 980 377 1.621 203 72 5.785 80 501 4.22 128 131 5.461 742 150 -0.211 934 536 2.163 47 309 4.861
870 723 663 3.029 978 396 1.698 219 63 5.845 72 484 4.298 140 118 5.517 756 149 0.129 923 552 2.204 50 290 4.879
