Transition_Type,Count,Hazard_Rate,Mean_Duration,Event_Rate
Complex,1185,0.17251504918514168,5.747679324894515,0.9915611814345991
→Fermo,6841,0.14338713058059108,6.974126589679871,1.0
Grupo→Solo,1576,0.10757679180887372,9.295685279187817,1.0
Fermo→,6716,0.10468233680404015,9.552709946396664,1.0
Solo→Grupo,1519,0.09116005521214668,10.969716919025675,1.0
