0 262 233 2.202 986 239 -0.298 180 293 -1.714 890 367 1.671 610 482 3.105 690 668 -1.485 91 195 -2.977 617 540 -1.681 129 419 0.112 438 471 1.353 837 383 -2.912 639 296 3.119 402 598 2.498 958 288 1.923 93 334 0.657 318 314 -0.07
10 274 245 2.594 1000 247 -0.259 180 296 -1.665 892 367 1.644 627 487 3.145 689 669 -1.375 95 194 -3.486 622 547 -1.642 128 419 -0.044 435 467 0.879 834 383 -2.873 641 296 3.348 406 617 2.234 949 284 1.897 90 332 0.368 315 313 0.175
20 274 245 3.464 1001 247 -0.172 180 300 -1.64 892 368 1.584 628 486 3.232 689 669 -1.29 98 192 -4.219 622 547 -1.555 123 419 -0.166 434 465 0.827 834 383 -2.786 644 297 3.777 398 632 1.91 949 285 1.837 83 331 0.099 309 312 0.228
30 268 237 4.315 1001 247 -0.078 179 295 -1.873 892 369 1.531 631 485 3.335 689 669 -1.251 98 192 -4.211 622 547 -1.451 119 420 -0.627 437 471 1.066 834 383 -2.682 639 293 3.828 394 649 1.774 949 286 1.766 83 330 -0.414 309 312 1.001
40 265 220 4.672 1002 247 0.011 171 281 -2.227 892 371 1.496 635 485 3.445 689 669 -1.253 98 192 -3.476 622 547 -1.346 124 415 -1.225 434 466 0.99 834 383 -2.573 625 281 3.858 392 654 2.22 949 287 1.691 91 322 -1.07 308 320 1.922
50 265 202 4.713 1003 247 0.092 166 275 -2.523 893 373 1.468 639 485 3.556 689 668 -1.297 98 192 -2.487 622 547 -1.259 123 412 -1.93 432 464 0.724 834 383 -2.462 612 271 3.744 380 661 2.834 949 288 1.614 92 311 -1.802 299 330 2.465
60 264 184 4.689 1004 247 0.171 163 274 -2.656 893 374 1.441 642 485 3.668 689 669 -1.32 97 185 -1.485 622 547 -1.187 114 402 -2.61 444 472 0.546 834 383 -2.35 599 263 3.683 362 662 3.158 949 289 1.54 87 306 -2.403 283 341 2.6
70 263 165 4.685 1006 248 0.249 163 274 -2.686 893 376 1.416 643 485 3.78 689 669 -1.323 105 168 -0.983 622 547 -1.14 97 397 -3.003 459 480 0.377 834 383 -2.237 592 257 4.136 342 661 3.277 949 291 1.475 85 306 -2.65 269 350 2.564
80 263 148 4.725 1007 248 0.326 163 274 -2.68 893 377 1.39 645 485 3.893 689 669 -1.296 117 153 -0.805 622 547 -1.108 77 396 -3.157 475 483 0.136 834 383 -2.125 588 242 4.624 323 657 3.314 949 292 1.402 83 305 -2.737 256 357 2.712
90 262 130 4.763 1008 248 0.403 162 273 -2.675 894 379 1.365 646 485 4.005 689 668 -1.264 131 140 -0.754 622 547 -1.08 64 397 -3.145 491 483 -0.097 834 383 -2.012 589 222 4.852 303 654 3.313 949 293 1.326 81 305 -2.767 242 361 3.011
100 262 111 4.779 1009 249 0.48 162 273 -2.675 894 380 1.343 647 486 4.118 689 669 -1.227 145 127 -0.758 622 547 -1.063 56 394 -2.598 507 481 -0.157 834 383 -1.9 593 203 4.928 284 651 3.309 949 294 1.25 79 304 -2.778 224 361 3.197
