0 772 619 1.169 703 622 -0.1 699 250 -1.933 326 172 1.875 685 183 1.714 738 440 -2.026 717 636 -3.138 764 160 -0.746 477 616 2.128 827 84 0.892 129 314 -2.086 376 401 -1.353 986 412 1.437 995 325 -2.164 472 218 -2.111 226 415 1.475
10 790 633 1.172 701 582 -0.061 691 274 -1.934 335 195 1.667 684 177 1.754 739 444 -1.824 715 642 -3.165 779 169 -0.753 495 621 2.001 843 105 0.623 134 315 -2.264 375 403 -1.514 1000 434 1.168 1007 337 -1.772 473 221 -1.692 238 427 1.867
20 790 635 1.18 701 582 0.025 691 272 -1.934 338 207 1.162 684 177 1.841 739 445 -1.507 714 642 -3.225 783 165 -0.851 490 637 1.885 853 108 0.026 121 304 -2.478 375 407 -1.45 1008 444 0.795 1007 337 -0.902 473 224 -1.589 235 429 2.717
30 791 636 1.201 701 582 0.129 690 271 -1.94 348 219 0.703 684 177 1.944 739 447 -1.068 713 643 -3.296 794 150 -0.991 487 651 1.895 867 103 -0.603 105 295 -2.572 374 410 -0.797 1011 449 1.195 1011 337 0.107 473 226 -1.479 218 431 3.249
40 791 637 1.263 701 582 0.238 689 269 -1.955 358 226 0.487 684 177 2.054 752 436 -0.526 712 643 -3.371 803 135 -0.974 482 657 2.452 878 93 -0.818 88 286 -2.608 374 410 0.134 1012 463 1.74 1024 343 0.753 473 226 -0.703 202 429 3.33
50 791 637 1.346 701 582 0.35 689 267 -1.963 362 228 0.424 684 177 2.165 769 429 -0.366 711 643 -3.447 815 119 -0.931 470 663 2.972 883 90 -0.334 71 276 -2.622 379 416 1.101 1005 480 2.05 1032 357 1.245 474 227 0.296 184 427 3.234
60 792 639 1.44 701 582 0.462 688 266 -1.966 368 230 0.389 684 177 2.277 784 423 -0.425 710 643 -3.524 827 103 -0.901 451 663 3.239 895 91 0.322 65 271 -2.302 382 433 1.456 995 497 2.167 1034 373 1.569 483 236 1.143 166 426 3.154
70 793 640 1.537 701 582 0.57 687 264 -1.978 378 235 0.39 684 177 2.39 794 418 -0.41 709 644 -3.601 839 88 -0.891 433 662 3.334 911 101 0.69 60 260 -1.677 385 447 1.321 983 513 2.206 1032 392 1.725 486 255 1.547 147 426 3.134
80 794 641 1.644 701 582 0.671 687 262 -1.991 388 239 0.42 684 177 2.502 807 416 0.022 708 645 -3.679 848 77 -0.815 416 660 3.348 925 115 0.824 61 244 -1.256 391 464 1.162 972 529 2.206 1028 410 1.802 485 275 1.689 128 426 3.13
90 795 642 1.75 702 582 0.771 686 261 -1.996 401 245 0.46 684 177 2.614 824 419 0.228 705 646 -3.744 856 73 -0.278 399 658 3.319 938 129 0.863 68 227 -1.066 400 479 0.974 960 545 2.196 1023 429 1.847 482 293 1.718 108 427 3.134
