0 458 496 2.537 902 297 -1.693 666 204 2.458 803 330 -0.036
10 460 494 2.856 911 298 -1.774 645 217 2.85 833 332 -0.033
20 466 494 3.249 912 298 -1.814 635 214 3.597 834 332 -0.023
30 455 493 3.165 913 298 -1.798 622 204 3.903 834 332 -0.013
40 443 495 2.745 914 298 -1.719 611 194 3.817 835 332 -0.006
50 435 502 2.112 915 298 -1.618 598 185 3.714 835 332 0.01
60 433 514 1.394 916 298 -1.51 592 178 4.158 835 332 0.027
70 441 525 0.742 916 298 -1.399 588 163 4.636 836 332 0.017
80 456 533 0.293 916 298 -1.287 589 144 4.86 836 332 -0.025
90 474 536 0.105 916 298 -1.174 593 125 4.932 836 332 -0.075
100 492 537 -0.031 916 298 -1.066 596 109 4.876 837 332 -0.109
110 510 535 -0.164 916 298 -0.955 597 93 4.704 837 332 -0.136
120 526 531 -0.29 916 298 -0.845 595 74 4.567 838 332 -0.15
130 540 525 -0.548 916 298 -0.741 592 55 4.531 838 332 -0.157
140 550 515 -0.914 916 297 -0.636 592 50 4.947 839 332 -0.162
150 557 501 -1.214 917 297 -0.541 598 42 5.662 839 332 -0.164
160 561 487 -1.234 918 297 -0.451 615 36 6.141 840 331 -0.164
170 569 474 -0.886 924 295 -0.226 634 36 6.34 843 331 -0.163
180 582 461 -0.708 941 294 0.092 653 38 6.413 847 330 -0.093
190 591 452 -0.948 959 297 0.198 672 40 6.42 851 330 0.04
200 595 439 -1.415 978 302 0.217 688 42 6.327 865 330 -0.015
210 595 421 -1.697 997 306 0.212 707 42 6.232 883 330 -0.01
220 591 401 -1.802 1016 310 0.206 726 40 6.18 901 330 0.052
230 587 384 -1.792 1023 312 0.563 746 38 6.162 913 331 0.122
240 585 373 -1.646 1030 322 1.192 763 36 6.205 919 332 0.173
250 585 371 -1.562 1033 340 1.575 779 36 6.375 925 333 0.232
260 585 369 -1.53 1031 360 1.718 795 40 6.57 934 336 0.252
270 586 368 -1.516 1028 379 1.756 813 46 6.669 952 341 0.252
280 586 366 -1.51 1024 397 1.747 831 54 6.724 970 345 0.267
290 586 364 -1.505 1021 416 1.724 849 63 6.75 989 351 0.277
300 586 362 -1.501 1018 436 1.713 866 72 6.761 1008 356 0.279
310 586 360 -1.498 1015 455 1.725 883 81 6.775 1021 360 0.392
