0 320 113 2.078 145 582 0.856 187 377 1.128 939 574 -0.142 389 458 -0.552 935 284 -2.318 883 361 1.849 523 496 0.994 110 406 3.014 704 236 -2.133 230 516 2.513 151 511 -0.44
10 320 110 1.466 143 579 0.801 185 374 1.009 941 580 -0.04 385 461 -0.9 938 287 -2.356 884 355 1.832 520 492 0.893 115 406 3.373 705 238 -2.378 233 545 2.52 165 522 -0.272
20 317 105 0.763 142 579 0.471 183 370 1.183 941 580 0.071 383 465 -1.273 943 291 -2.649 886 350 1.803 518 488 0.997 121 408 3.562 708 240 -2.56 229 558 2.523 165 522 0.495
30 322 107 0.245 142 579 0.263 183 369 1.692 941 580 0.184 383 465 -1.259 944 291 -2.096 887 362 1.228 522 495 0.767 112 406 3.218 706 239 -2.514 237 576 2.525 165 522 1.262
40 334 105 -0.409 142 579 0.264 182 369 2.592 941 580 0.296 383 465 -0.545 944 291 -1.164 896 375 0.798 517 490 0.51 118 406 2.819 697 228 -2.059 235 577 2.524 165 522 1.615
50 346 95 -0.902 142 579 0.338 181 369 3.236 941 580 0.409 383 465 0.435 945 291 -0.11 910 384 0.482 514 489 0.038 99 399 2.255 690 213 -1.934 233 578 2.523 165 522 1.812
60 356 78 -1.117 141 579 0.437 181 369 3.465 941 580 0.521 391 477 1.235 960 296 0.515 927 392 0.363 533 487 -0.181 96 399 2.132 682 199 -2.052 232 579 2.522 165 522 1.952
70 364 60 -1.207 138 580 0.545 180 369 3.543 941 580 0.634 394 492 1.378 974 304 0.508 945 398 0.334 552 483 -0.239 96 399 2.162 673 185 -2.152 230 580 2.52 165 522 2.057
80 369 46 -1.18 132 576 0.655 180 369 3.568 941 580 0.746 398 507 1.2 990 311 0.401 963 405 0.339 569 478 -0.276 96 399 2.246 661 169 -2.262 229 582 2.518 165 522 2.136
90 374 40 -0.647 125 568 0.767 179 369 3.575 941 580 0.859 406 520 0.902 1007 317 0.283 981 411 0.377 580 473 -0.612 96 399 2.349 649 155 -2.317 227 583 2.517 165 522 2.201
100 389 35 -0.137 121 563 0.88 179 368 3.575 941 580 0.971 420 534 0.723 1020 321 0.298 998 418 0.409 589 462 -1.112 96 399 2.458 636 142 -2.376 225 584 2.516 165 522 2.242
110 408 35 0.096 119 561 0.992 178 368 3.573 941 579 1.046 435 546 0.654 1028 326 0.814 1011 424 0.539 594 445 -1.407 96 400 2.565 623 132 -2.479 224 585 2.513 165 521 2.271
120 427 38 0.175 119 561 1.104 178 368 3.571 940 577 1.059 449 557 0.638 1033 339 1.43 1016 431 1.139 595 426 -1.534 95 400 2.671 609 122 -2.565 222 586 2.51 166 520 2.317
130 444 41 0.154 119 561 1.217 177 368 3.57 939 576 1.04 457 563 0.746 1032 354 1.724 1017 446 1.723 595 407 -1.6 94 400 2.747 596 116 -2.485 221 587 2.505 166 520 2.368
140 461 42 -0.005 119 561 1.329 177 367 3.57 939 576 1.783 462 572 1.257 1030 362 1.817 1011 464 1.976 594 388 -1.645 93 401 2.802 589 108 -1.98 205 599 2.496 166 519 2.419
150 472 42 0.002 118 559 1.442 177 367 3.57 930 586 2.572 464 591 1.572 1026 380 1.817 1002 482 2.07 592 368 -1.666 91 401 2.844 587 92 -1.512 196 605 2.638 166 519 2.451
160 477 44 0.613 117 558 1.554 174 366 3.57 913 593 2.884 462 610 1.673 1022 397 1.73 992 499 2.103 590 348 -1.673 84 403 2.888 590 73 -1.33 186 607 3.226 166 519 2.478
170 482 52 1.204 116 557 1.667 171 365 3.449 901 597 2.737 460 629 1.693 1020 416 1.67 982 516 2.114 589 329 -1.66 67 407 3.012 593 58 -1.336 177 604 3.731 166 519 2.504
180 486 70 1.448 115 556 1.779 166 364 3.388 888 606 2.462 458 648 1.716 1018 436 1.648 971 534 2.118 587 311 -1.634 62 406 3.469 594 49 -1.295 177 604 3.925 166 519 2.53
190 487 90 1.55 114 555 1.892 161 362 3.394 877 620 2.353 455 654 2.166 1017 453 1.687 961 550 2.131 586 292 -1.603 52 397 4.107 599 41 -0.735 177 604 3.992 166 519 2.55
200 487 110 1.587 114 555 2.004 157 361 3.407 867 631 2.443 445 661 2.812 1013 469 1.856 952 564 2.206 586 273 -1.57 46 382 4.505 612 36 -0.159 176 603 4.013 166 519 2.56
