0 788 273 848 565 141 270 952 485 331 122 987 349 81 300 833 549 940 134 596 36 794 398 362 228 284 262 903 138 105 518 298 331 219 576 413 381 883 232 207 132
10 771 274 872 589 141 270 962 475 331 122 987 349 81 300 852 550 956 129 596 36 794 398 362 228 284 262 916 109 105 518 298 331 219 576 413 381 883 232 207 132
20 771 274 872 589 141 270 969 465 331 122 987 349 81 300 852 550 956 129 596 36 794 398 362 228 284 262 916 109 105 518 298 331 219 576 413 381 883 232 207 132
30 771 274 872 589 141 270 970 462 331 122 987 349 81 300 852 550 956 129 596 36 794 398 362 228 284 262 916 109 105 518 298 331 219 576 413 381 883 232 207 132
40 771 274 872 589 141 270 970 462 331 122 987 349 81 300 852 550 956 129 596 36 794 398 362 228 284 262 916 109 105 518 298 331 219 576 413 381 883 232 207 132
50 771 274 872 589 141 270 970 462 331 122 987 349 81 300 851 550 956 129 596 36 794 398 362 228 284 262 916 109 105 518 298 331 219 576 413 381 883 232 207 132
60 771 274 872 589 141 270 970 462 331 122 987 349 81 300 851 550 956 129 596 36 794 398 362 228 284 262 916 109 105 518 298 331 219 576 413 381 883 232 207 132
70 771 274 872 589 141 270 970 462 331 122 987 349 81 300 851 550 956 129 596 36 794 398 362 228 284 262 916 109 105 518 298 331 219 576 413 381 883 232 207 132
80 771 274 872 589 141 270 970 462 331 122 987 349 81 300 851 550 956 129 596 36 794 398 362 228 284 262 917 108 105 518 298 331 219 576 413 381 883 232 207 132
90 771 273 872 589 141 270 970 462 331 122 987 349 81 300 851 550 956 129 596 36 794 398 362 228 284 262 918 107 105 518 298 331 219 576 413 381 883 232 207 132
100 770 272 872 589 141 270 970 462 331 122 987 349 81 300 851 550 956 129 596 36 794 398 362 228 284 262 919 105 105 518 298 331 219 576 413 381 883 232 207 132
110 770 272 872 589 141 270 970 462 331 122 987 349 81 300 851 550 956 129 596 36 794 398 362 228 284 262 920 103 105 518 298 331 219 576 413 381 883 232 207 132
120 770 272 872 589 141 270 970 462 331 122 987 349 81 300 850 550 956 129 596 36 794 398 362 228 284 262 920 101 105 518 298 331 219 576 413 381 883 232 207 132
130 770 272 872 589 141 270 970 462 331 122 987 349 81 300 850 550 956 129 596 36 794 398 362 228 284 262 921 99 105 518 298 331 219 576 413 381 892 233 207 132
140 770 272 872 589 141 270 970 462 331 122 987 349 80 299 850 550 956 129 596 36 794 398 362 228 284 262 922 95 97 513 298 331 219 576 413 381 897 234 207 132
150 770 272 872 589 141 270 970 462 331 122 987 349 80 295 850 550 956 129 596 36 794 398 362 228 284 262 907 75 80 509 298 331 219 576 413 381 899 234 207 132
160 770 272 872 589 141 270 970 462 331 122 987 349 80 295 850 550 956 129 596 36 794 398 362 228 284 262 883 65 65 496 298 331 219 576 413 381 902 235 207 132
170 770 272 872 589 141 270 970 462 331 122 987 349 80 295 850 550 956 129 596 36 794 398 362 228 284 262 875 62 63 489 298 331 219 576 413 381 904 236 207 132
180 770 272 872 589 141 270 970 462 331 122 987 349 84 290 850 550 956 129 596 36 794 398 362 228 284 262 875 62 59 479 298 331 219 576 413 381 907 237 207 132
190 787 247 872 589 141 270 970 462 331 122 987 349 93 284 850 550 961 134 596 36 794 398 362 228 284 262 875 62 59 458 298 331 219 576 413 381 909 238 207 132
200 793 232 872 589 143 269 970 462 331 122 987 349 100 281 850 550 967 155 596 36 794 398 362 228 284 262 875 62 66 436 298 331 219 576 413 381 911 240 207 132
210 793 232 872 589 147 268 970 462 331 122 987 349 105 282 850 550 969 176 596 36 797 403 362 228 284 262 875 62 68 417 298 331 219 576 413 381 912 241 207 132
220 793 232 872 589 147 268 970 462 331 122 987 349 105 282 850 550 976 193 596 36 798 405 362 228 284 262 875 62 66 399 298 331 219 576 413 381 914 242 207 132
230 793 232 872 589 147 268 970 462 331 122 987 349 105 282 850 550 984 210 596 36 800 407 362 228 284 262 875 62 63 381 298 331 219 576 413 381 915 243 207 132
240 793 232 872 589 147 268 970 462 331 122 987 349 105 282 850 550 993 225 596 36 801 409 362 228 284 262 875 62 61 363 298 331 219 576 413 381 918 242 207 132
250 793 232 872 589 147 268 970 462 331 122 987 349 105 282 850 550 1000 241 596 36 805 413 362 228 284 262 875 62 66 346 298 331 219 576 413 381 925 237 207 132
260 793 232 872 589 147 268 970 462 331 122 987 349 105 282 850 550 999 258 596 36 805 414 362 228 284 262 875 62 70 337 298 331 219 576 413 381 926 237 207 132
270 793 232 872 589 147 268 970 462 331 122 986 349 105 282 850 550 998 269 596 36 805 414 362 228 284 262 875 62 76 329 298 331 219 576 413 381 926 237 207 132
280 793 232 872 589 147 268 970 462 331 122 985 349 105 282 850 550 998 282 596 36 805 414 362 228 284 262 875 62 84 322 298 331 219 576 413 381 926 237 207 132
290 793 232 872 589 148 267 970 462 331 122 985 349 106 279 850 550 998 294 596 36 805 414 362 228 284 262 875 62 92 321 298 331 219 573 413 381 926 237 207 132
300 793 232 872 589 148 267 970 462 331 122 985 349 106 278 850 550 993 304 596 36 805 414 362 228 284 262 875 62 96 321 298 331 219 573 413 381 926 237 207 132
310 793 232 872 589 148 267 970 462 331 122 983 356 106 278 850 550 992 313 596 36 805 414 362 228 284 262 875 62 96 321 298 331 219 573 413 381 926 237 207 132
